学号	姓名	学院	地区
131090005	VVzBCwb16	其他学院	2区
121080005	VVzBCwa17	其他学院	9区
131080005	VVzBCwb17	其他学院	11区
121070005	VVzBCwa18	其他学院	12区
131070005	VVzBCwb18	其他学院	2区
121060005	VVzBCwa19	其他学院	1区
131060005	VVzBCwb19	其他学院	5区
121050005	VVzBCwa20	其他学院	13区
131050005	VVzBCwb20	其他学院	9区
121040005	VVzBCwa21	其他学院	1区
131040005	VVzBCwb21	其他学院	3区
121030005	VVzBCwa22	其他学院	6区
131030005	VVzBCwb22	其他学院	2区
121020005	VVzBCwa23	其他学院	13区
131020005	VVzBCwb23	其他学院	13区
121010005	VVzBCwa24	其他学院	1区
131010005	VVzBCwb24	其他学院	6区
121250006	mrXkIEa	软件学院	10区
131250006	mrXkIEb	软件学院	4区
121240006	mrXkIEa1	其他学院	12区
131240006	mrXkIEb1	其他学院	7区
121230006	mrXkIEa2	其他学院	4区
131230006	mrXkIEb2	其他学院	3区
121220006	mrXkIEa3	其他学院	6区
131220006	mrXkIEb3	其他学院	13区
121210006	mrXkIEa4	其他学院	6区
131210006	mrXkIEb4	其他学院	2区
121200006	mrXkIEa5	其他学院	13区
131200006	mrXkIEb5	其他学院	5区
121190006	mrXkIEa6	其他学院	2区
131190006	mrXkIEb6	其他学院	6区
121180006	mrXkIEa7	其他学院	4区
131180006	mrXkIEb7	其他学院	10区
121170006	mrXkIEa8	其他学院	1区
131170006	mrXkIEb8	其他学院	1区
121160006	mrXkIEa9	其他学院	11区
131160006	mrXkIEb9	其他学院	4区
121150006	mrXkIEa10	其他学院	8区
131150006	mrXkIEb10	其他学院	5区
121140006	mrXkIEa11	其他学院	11区
131140006	mrXkIEb11	其他学院	7区
121130006	mrXkIEa12	其他学院	12区
131130006	mrXkIEb12	其他学院	6区
121120006	mrXkIEa13	其他学院	3区
131120006	mrXkIEb13	其他学院	11区
121110006	mrXkIEa14	其他学院	11区
131110006	mrXkIEb14	其他学院	4区
121100006	mrXkIEa15	其他学院	9区
131100006	mrXkIEb15	其他学院	9区
121090006	mrXkIEa16	其他学院	8区
131090006	mrXkIEb16	其他学院	8区
121080006	mrXkIEa17	其他学院	13区
131080006	mrXkIEb17	其他学院	12区
121070006	mrXkIEa18	其他学院	9区
131070006	mrXkIEb18	其他学院	5区
121060006	mrXkIEa19	其他学院	10区
131060006	mrXkIEb19	其他学院	9区
121050006	mrXkIEa20	其他学院	12区
131050006	mrXkIEb20	其他学院	9区
121040006	mrXkIEa21	其他学院	7区
131040006	mrXkIEb21	其他学院	1区
121030006	mrXkIEa22	其他学院	9区
131030006	mrXkIEb22	其他学院	5区
121020006	mrXkIEa23	其他学院	4区
131020006	mrXkIEb23	其他学院	2区
121010006	mrXkIEa24	其他学院	1区
131010006	mrXkIEb24	其他学院	2区
121250007	cQdThva	软件学院	3区
131250007	cQdThvb	软件学院	9区
121240007	cQdThva1	其他学院	1区
131240007	cQdThvb1	其他学院	1区
121230007	cQdThva2	其他学院	4区
131230007	cQdThvb2	其他学院	6区
121220007	cQdThva3	其他学院	2区
131220007	cQdThvb3	其他学院	13区
121210007	cQdThva4	其他学院	10区
131210007	cQdThvb4	其他学院	4区
121200007	cQdThva5	其他学院	3区
131200007	cQdThvb5	其他学院	4区
121190007	cQdThva6	其他学院	2区
131190007	cQdThvb6	其他学院	10区
121180007	cQdThva7	其他学院	3区
131180007	cQdThvb7	其他学院	10区
121170007	cQdThva8	其他学院	9区
131170007	cQdThvb8	其他学院	8区
121160007	cQdThva9	其他学院	6区
131160007	cQdThvb9	其他学院	8区
121150007	cQdThva10	其他学院	5区
131150007	cQdThvb10	其他学院	4区
121140007	cQdThva11	其他学院	2区
131140007	cQdThvb11	其他学院	1区
121130007	cQdThva12	其他学院	11区
131130007	cQdThvb12	其他学院	11区
121120007	cQdThva13	其他学院	4区
131120007	cQdThvb13	其他学院	12区
121110007	cQdThva14	其他学院	13区
131110007	cQdThvb14	其他学院	9区
121100007	cQdThva15	其他学院	10区
131100007	cQdThvb15	其他学院	9区
121090007	cQdThva16	其他学院	10区
131090007	cQdThvb16	其他学院	9区
121080007	cQdThva17	其他学院	9区
131080007	cQdThvb17	其他学院	11区
121070007	cQdThva18	其他学院	2区
131070007	cQdThvb18	其他学院	11区
121060007	cQdThva19	其他学院	12区
131060007	cQdThvb19	其他学院	9区
121050007	cQdThva20	其他学院	2区
131050007	cQdThvb20	其他学院	4区
121040007	cQdThva21	其他学院	5区
131040007	cQdThvb21	其他学院	3区
121030007	cQdThva22	其他学院	7区
131030007	cQdThvb22	其他学院	1区
121020007	cQdThva23	其他学院	4区
131020007	cQdThvb23	其他学院	4区
121010007	cQdThva24	其他学院	8区
131010007	cQdThvb24	其他学院	9区
121250008	SzzUiNa	软件学院	2区
131250008	SzzUiNb	软件学院	4区
121240008	SzzUiNa1	其他学院	5区
131240008	SzzUiNb1	其他学院	1区
121230008	SzzUiNa2	其他学院	2区
131230008	SzzUiNb2	其他学院	7区
121220008	SzzUiNa3	其他学院	9区
131220008	SzzUiNb3	其他学院	8区
121210008	SzzUiNa4	其他学院	9区
131210008	SzzUiNb4	其他学院	2区
121200008	SzzUiNa5	其他学院	5区
131200008	SzzUiNb5	其他学院	1区
121190008	SzzUiNa6	其他学院	5区
131190008	SzzUiNb6	其他学院	10区
121180008	SzzUiNa7	其他学院	12区
131180008	SzzUiNb7	其他学院	8区
121170008	SzzUiNa8	其他学院	8区
131170008	SzzUiNb8	其他学院	10区
121160008	SzzUiNa9	其他学院	8区
131160008	SzzUiNb9	其他学院	4区
121150008	SzzUiNa10	其他学院	3区
131150008	SzzUiNb10	其他学院	7区
121140008	SzzUiNa11	其他学院	4区
131140008	SzzUiNb11	其他学院	3区
121130008	SzzUiNa12	其他学院	10区
131130008	SzzUiNb12	其他学院	2区
121120008	SzzUiNa13	其他学院	11区
131120008	SzzUiNb13	其他学院	4区
121110008	SzzUiNa14	其他学院	12区
131110008	SzzUiNb14	其他学院	10区
121100008	SzzUiNa15	其他学院	9区
131100008	SzzUiNb15	其他学院	12区
121090008	SzzUiNa16	其他学院	9区
131090008	SzzUiNb16	其他学院	1区
121080008	SzzUiNa17	其他学院	2区
131080008	SzzUiNb17	其他学院	6区
121070008	SzzUiNa18	其他学院	11区
131070008	SzzUiNb18	其他学院	11区
121060008	SzzUiNa19	其他学院	4区
131060008	SzzUiNb19	其他学院	9区
121050008	SzzUiNa20	其他学院	9区
131050008	SzzUiNb20	其他学院	6区
121040008	SzzUiNa21	其他学院	6区
131040008	SzzUiNb21	其他学院	5区
121030008	SzzUiNa22	其他学院	8区
131030008	SzzUiNb22	其他学院	11区
121020008	SzzUiNa23	其他学院	8区
131020008	SzzUiNb23	其他学院	6区
121010008	SzzUiNa24	其他学院	1区
131010008	SzzUiNb24	其他学院	13区
121250009	ABooFua	软件学院	2区
131250009	ABooFub	软件学院	10区
121240009	ABooFua1	其他学院	13区
131240009	ABooFub1	其他学院	1区
121230009	ABooFua2	其他学院	12区
131230009	ABooFub2	其他学院	11区
121220009	ABooFua3	其他学院	3区
131220009	ABooFub3	其他学院	10区
121210009	ABooFua4	其他学院	3区
131210009	ABooFub4	其他学院	8区
121200009	ABooFua5	其他学院	4区
131200009	ABooFub5	其他学院	9区
121190009	ABooFua6	其他学院	2区
131190009	ABooFub6	其他学院	3区
121180009	ABooFua7	其他学院	12区
131180009	ABooFub7	其他学院	4区
121170009	ABooFua8	其他学院	3区
131170009	ABooFub8	其他学院	11区
121160009	ABooFua9	其他学院	8区
131160009	ABooFub9	其他学院	3区
121150009	ABooFua10	其他学院	11区
131150009	ABooFub10	其他学院	9区
121140009	ABooFua11	其他学院	6区
131140009	ABooFub11	其他学院	1区
121130009	ABooFua12	其他学院	7区
131130009	ABooFub12	其他学院	8区
121120009	ABooFua13	其他学院	6区
131120009	ABooFub13	其他学院	4区
121110009	ABooFua14	其他学院	10区
131110009	ABooFub14	其他学院	11区
121100009	ABooFua15	其他学院	7区
131100009	ABooFub15	其他学院	4区
121090009	ABooFua16	其他学院	3区
131090009	ABooFub16	其他学院	13区
121080009	ABooFua17	其他学院	11区
131080009	ABooFub17	其他学院	1区
121070009	ABooFua18	其他学院	9区
131070009	ABooFub18	其他学院	8区
121060009	ABooFua19	其他学院	4区
131060009	ABooFub19	其他学院	13区
121050009	ABooFua20	其他学院	12区
131050009	ABooFub20	其他学院	3区
121040009	ABooFua21	其他学院	1区
131040009	ABooFub21	其他学院	13区
121030009	ABooFua22	其他学院	4区
131030009	ABooFub22	其他学院	11区
121020009	ABooFua23	其他学院	8区
131020009	ABooFub23	其他学院	8区
121010009	ABooFua24	其他学院	11区
131010009	ABooFub24	其他学院	9区
121250010	odKZgqa	软件学院	7区
131250010	odKZgqb	软件学院	3区
121240010	odKZgqa1	其他学院	9区
131240010	odKZgqb1	其他学院	7区
121230010	odKZgqa2	其他学院	11区
131230010	odKZgqb2	其他学院	9区
121220010	odKZgqa3	其他学院	12区
131220010	odKZgqb3	其他学院	1区
121210010	odKZgqa4	其他学院	6区
131210010	odKZgqb4	其他学院	9区
121200010	odKZgqa5	其他学院	6区
131200010	odKZgqb5	其他学院	10区
121190010	odKZgqa6	其他学院	11区
131190010	odKZgqb6	其他学院	8区
121180010	odKZgqa7	其他学院	7区
131180010	odKZgqb7	其他学院	2区
121170010	odKZgqa8	其他学院	12区
131170010	odKZgqb8	其他学院	3区
121160010	odKZgqa9	其他学院	3区
131160010	odKZgqb9	其他学院	2区
121150010	odKZgqa10	其他学院	3区
131150010	odKZgqb10	其他学院	5区
121140010	odKZgqa11	其他学院	6区
131140010	odKZgqb11	其他学院	5区
121130010	odKZgqa12	其他学院	2区
131130010	odKZgqb12	其他学院	5区
121120010	odKZgqa13	其他学院	13区
131120010	odKZgqb13	其他学院	9区
121110010	odKZgqa14	其他学院	2区
131110010	odKZgqb14	其他学院	1区
121100010	odKZgqa15	其他学院	4区
131100010	odKZgqb15	其他学院	10区
121090010	odKZgqa16	其他学院	5区
131090010	odKZgqb16	其他学院	9区
121080010	odKZgqa17	其他学院	1区
131080010	odKZgqb17	其他学院	11区
121070010	odKZgqa18	其他学院	3区
131070010	odKZgqb18	其他学院	3区
121060010	odKZgqa19	其他学院	10区
131060010	odKZgqb19	其他学院	8区
121050010	odKZgqa20	其他学院	1区
131050010	odKZgqb20	其他学院	9区
121040010	odKZgqa21	其他学院	12区
131040010	odKZgqb21	其他学院	5区
121030010	odKZgqa22	其他学院	7区
131030010	odKZgqb22	其他学院	6区
121020010	odKZgqa23	其他学院	11区
131020010	odKZgqb23	其他学院	13区
121010010	odKZgqa24	其他学院	5区
131010010	odKZgqb24	其他学院	12区
121250011	feGWnla	软件学院	5区
131250011	feGWnlb	软件学院	11区
121240011	feGWnla1	其他学院	4区
131240011	feGWnlb1	其他学院	1区
121230011	feGWnla2	其他学院	6区
131230011	feGWnlb2	其他学院	4区
121220011	feGWnla3	其他学院	2区
131220011	feGWnlb3	其他学院	9区
121210011	feGWnla4	其他学院	8区
131210011	feGWnlb4	其他学院	6区
121200011	feGWnla5	其他学院	1区
131200011	feGWnlb5	其他学院	3区
121190011	feGWnla6	其他学院	9区
131190011	feGWnlb6	其他学院	4区
121180011	feGWnla7	其他学院	5区
131180011	feGWnlb7	其他学院	6区
121170011	feGWnla8	其他学院	2区
131170011	feGWnlb8	其他学院	8区
121160011	feGWnla9	其他学院	4区
131160011	feGWnlb9	其他学院	11区
121150011	feGWnla10	其他学院	2区
131150011	feGWnlb10	其他学院	12区
121140011	feGWnla11	其他学院	11区
131140011	feGWnlb11	其他学院	9区
121130011	feGWnla12	其他学院	5区
131130011	feGWnlb12	其他学院	4区
121120011	feGWnla13	其他学院	13区
131120011	feGWnlb13	其他学院	13区
121110011	feGWnla14	其他学院	2区
131110011	feGWnlb14	其他学院	12区
121100011	feGWnla15	其他学院	13区
131100011	feGWnlb15	其他学院	7区
121090011	feGWnla16	其他学院	11区
131090011	feGWnlb16	其他学院	12区
121080011	feGWnla17	其他学院	13区
131080011	feGWnlb17	其他学院	7区
121070011	feGWnla18	其他学院	8区
131070011	feGWnlb18	其他学院	4区
121060011	feGWnla19	其他学院	13区
131060011	feGWnlb19	其他学院	1区
121050011	feGWnla20	其他学院	7区
131050011	feGWnlb20	其他学院	5区
121040011	feGWnla21	其他学院	12区
131040011	feGWnlb21	其他学院	5区
121030011	feGWnla22	其他学院	8区
131030011	feGWnlb22	其他学院	2区
121020011	feGWnla23	其他学院	2区
131020011	feGWnlb23	其他学院	6区
121010011	feGWnla24	其他学院	1区
131010011	feGWnlb24	其他学院	6区
121250012	ZeRUIea	软件学院	9区
131250012	ZeRUIeb	软件学院	11区
121240012	ZeRUIea1	其他学院	7区
131240012	ZeRUIeb1	其他学院	6区
121230012	ZeRUIea2	其他学院	7区
131230012	ZeRUIeb2	其他学院	9区
121220012	ZeRUIea3	其他学院	9区
131220012	ZeRUIeb3	其他学院	7区
121210012	ZeRUIea4	其他学院	3区
131210012	ZeRUIeb4	其他学院	7区
121200012	ZeRUIea5	其他学院	3区
131200012	ZeRUIeb5	其他学院	3区
121190012	ZeRUIea6	其他学院	7区
131190012	ZeRUIeb6	其他学院	9区
121180012	ZeRUIea7	其他学院	13区
131180012	ZeRUIeb7	其他学院	9区
121170012	ZeRUIea8	其他学院	10区
131170012	ZeRUIeb8	其他学院	5区
121160012	ZeRUIea9	其他学院	10区
131160012	ZeRUIeb9	其他学院	11区
121150012	ZeRUIea10	其他学院	8区
131150012	ZeRUIeb10	其他学院	6区
121140012	ZeRUIea11	其他学院	3区
131140012	ZeRUIeb11	其他学院	10区
121130012	ZeRUIea12	其他学院	13区
131130012	ZeRUIeb12	其他学院	11区
121120012	ZeRUIea13	其他学院	4区
131120012	ZeRUIeb13	其他学院	9区
121110012	ZeRUIea14	其他学院	5区
131110012	ZeRUIeb14	其他学院	11区
121100012	ZeRUIea15	其他学院	13区
131100012	ZeRUIeb15	其他学院	12区
121090012	ZeRUIea16	其他学院	11区
131090012	ZeRUIeb16	其他学院	8区
121080012	ZeRUIea17	其他学院	2区
131080012	ZeRUIeb17	其他学院	4区
121070012	ZeRUIea18	其他学院	8区
131070012	ZeRUIeb18	其他学院	3区
121060012	ZeRUIea19	其他学院	1区
131060012	ZeRUIeb19	其他学院	10区
121050012	ZeRUIea20	其他学院	6区
131050012	ZeRUIeb20	其他学院	5区
121040012	ZeRUIea21	其他学院	4区
131040012	ZeRUIeb21	其他学院	5区
121030012	ZeRUIea22	其他学院	12区
131030012	ZeRUIeb22	其他学院	11区
121020012	ZeRUIea23	其他学院	7区
131020012	ZeRUIeb23	其他学院	4区
121010012	ZeRUIea24	其他学院	11区
131010012	ZeRUIeb24	其他学院	11区
121250013	GbWikca	软件学院	7区
131250013	GbWikcb	软件学院	11区
121240013	GbWikca1	其他学院	9区
131240013	GbWikcb1	其他学院	3区
121230013	GbWikca2	其他学院	7区
131230013	GbWikcb2	其他学院	8区
121220013	GbWikca3	其他学院	2区
131220013	GbWikcb3	其他学院	7区
121210013	GbWikca4	其他学院	7区
131210013	GbWikcb4	其他学院	8区
121200013	GbWikca5	其他学院	3区
131200013	GbWikcb5	其他学院	4区
121190013	GbWikca6	其他学院	2区
131190013	GbWikcb6	其他学院	9区
121180013	GbWikca7	其他学院	10区
131180013	GbWikcb7	其他学院	5区
121170013	GbWikca8	其他学院	8区
131170013	GbWikcb8	其他学院	13区
121160013	GbWikca9	其他学院	6区
131160013	GbWikcb9	其他学院	13区
121150013	GbWikca10	其他学院	6区
131150013	GbWikcb10	其他学院	6区
121140013	GbWikca11	其他学院	6区
131140013	GbWikcb11	其他学院	8区
121130013	GbWikca12	其他学院	4区
131130013	GbWikcb12	其他学院	1区
121120013	GbWikca13	其他学院	4区
131120013	GbWikcb13	其他学院	2区
121110013	GbWikca14	其他学院	13区
131110013	GbWikcb14	其他学院	12区
121100013	GbWikca15	其他学院	3区
131100013	GbWikcb15	其他学院	9区
121090013	GbWikca16	其他学院	1区
131090013	GbWikcb16	其他学院	12区
121080013	GbWikca17	其他学院	4区
131080013	GbWikcb17	其他学院	12区
121070013	GbWikca18	其他学院	7区
131070013	GbWikcb18	其他学院	5区
121060013	GbWikca19	其他学院	11区
131060013	GbWikcb19	其他学院	2区
121050013	GbWikca20	其他学院	8区
131050013	GbWikcb20	其他学院	13区
121040013	GbWikca21	其他学院	5区
131040013	GbWikcb21	其他学院	2区
121030013	GbWikca22	其他学院	11区
131030013	GbWikcb22	其他学院	3区
121020013	GbWikca23	其他学院	10区
131020013	GbWikcb23	其他学院	7区
121010013	GbWikca24	其他学院	12区
131010013	GbWikcb24	其他学院	5区
121250014	JPvcCVa	软件学院	12区
131250014	JPvcCVb	软件学院	12区
121240014	JPvcCVa1	其他学院	1区
131240014	JPvcCVb1	其他学院	13区
121230014	JPvcCVa2	其他学院	2区
131230014	JPvcCVb2	其他学院	13区
121220014	JPvcCVa3	其他学院	6区
131220014	JPvcCVb3	其他学院	4区
121210014	JPvcCVa4	其他学院	12区
131210014	JPvcCVb4	其他学院	2区
121200014	JPvcCVa5	其他学院	9区
131200014	JPvcCVb5	其他学院	1区
121190014	JPvcCVa6	其他学院	5区
131190014	JPvcCVb6	其他学院	6区
121180014	JPvcCVa7	其他学院	7区
131180014	JPvcCVb7	其他学院	10区
121170014	JPvcCVa8	其他学院	2区
131170014	JPvcCVb8	其他学院	3区
121160014	JPvcCVa9	其他学院	11区
131160014	JPvcCVb9	其他学院	12区
121150014	JPvcCVa10	其他学院	11区
131150014	JPvcCVb10	其他学院	12区
121140014	JPvcCVa11	其他学院	3区
131140014	JPvcCVb11	其他学院	10区
121130014	JPvcCVa12	其他学院	6区
131130014	JPvcCVb12	其他学院	11区
121120014	JPvcCVa13	其他学院	9区
131120014	JPvcCVb13	其他学院	11区
121110014	JPvcCVa14	其他学院	13区
131110014	JPvcCVb14	其他学院	11区
121100014	JPvcCVa15	其他学院	10区
131100014	JPvcCVb15	其他学院	9区
121090014	JPvcCVa16	其他学院	4区
131090014	JPvcCVb16	其他学院	5区
121080014	JPvcCVa17	其他学院	8区
131080014	JPvcCVb17	其他学院	13区
121070014	JPvcCVa18	其他学院	11区
131070014	JPvcCVb18	其他学院	9区
